Hex	Category	Name	Environment	Description
#D92121	reds	Maximum Red		This red evokes a fresh rose with its vibrant medium tone.
#D982B5	purples	Middle Purple		This purple evokes violet blossoms with its soft light tone.
#D98695	reds	Shimmering Blush		Named after a fresh rose, this red has a soft light look.
#D99058	oranges	Persian Orange		A warm, rich orange inspired by the traditional ceramics and textiles of Persia, where this color has been used in decorative arts for centuries. This color represents the warmth of Middle Eastern hospitality and the rich traditions of Persian craftsmanship. Persian orange's association with cultural heritage and artisanal excellence has made it popular in heritage and luxury design.
#D99A6C	oranges	Tan (Crayola)		This orange evokes tangerine peel with its soft light tone.
#D9E650	yellows	Maximum Green Yellow		Named after sunflower petals, this yellow has a vibrant light look.
#DA1884	purples	Barbie Pink		A vibrant medium purple reminiscent of lavender fields.
#DA2C43	reds	Rusty Red		Named after a fresh rose, this red has a vibrant medium look.
#DA3287	purples	Deep Cerise		A vibrant medium purple reminiscent of royal velvet.
#DA70D6	purples	Orchid		A delicate, exotic purple inspired by the orchid flower, which has been cultivated for its beauty and rarity for thousands of years. This color represents luxury, refinement, and the pursuit of rare beauty. Orchid's association with exotic elegance and sophisticated taste has made it popular in luxury branding and floral design.
#DA8A67	oranges	Copper (Crayola)		This orange evokes tangerine peel with its vibrant light tone.
#DA9100	oranges	Harvest Gold		This orange evokes autumn leaves with its vibrant medium tone.
#DAA520	yellows	Goldenrod		A deeper, muted yellow inspired by the goldenrod plant (Solidago), which blooms in late summer and early autumn across North America and Europe. Goldenrod has been used in folk medicine, dyeing, and as a symbol of encouragement and good fortune. Its warm, earthy hue evokes the changing seasons and the richness of natural landscapes, making it a popular choice in rustic and botanical art.
#DB2D43	reds	Alizarin		A deep, rich red pigment originally derived from the roots of the madder plant, used in textile dyeing for thousands of years. In 1868, German chemists synthesized alizarin, revolutionizing the dye industry and making this once-rare color widely available. Alizarin's association with traditional craftsmanship and artistic innovation has made it significant in heritage and textile design.
#DBD7D2	neutrals	Timberwolf		A soft, pale gray inspired by the elusive timberwolf, whose fur blends seamlessly with misty forests and snowy landscapes. The color timberwolf evokes the quiet strength and adaptability of these iconic creatures, revered in Native American folklore as symbols of loyalty, intuition, and wilderness wisdom. This gentle neutral is often used in design to convey subtlety, calm, and a connection to the natural world.
#DC143C	reds	Crimson		A deep, rich red with a slight blue undertone, originally derived from the kermes insect (Kermes vermilio) found on Mediterranean oak trees. This ancient dye was used by the Phoenicians and Romans, and its name comes from the Arabic 'qirmiz.' Crimson was so valuable that it was often worth more than gold, reserved for royal garments and religious vestments. The color's association with power and prestige continues today, where it represents authority and importance in academic and military contexts.
#DCDCDC	neutrals	Gainsboro		A muted light neutral reminiscent of soft ash.
#DDA0DD	purples	Plum (Web)		Named after royal velvet, this purple has a soft light look.
#DE3163	purples	Cerise		A vibrant medium purple reminiscent of lavender fields.
#DE5285	purples	Fandango Pink		This purple evokes violet blossoms with its vibrant medium tone.
#DE5D83	purples	Blush		A vibrant light purple reminiscent of lavender fields.
#DE6FA1	purples	Thulian Pink		Similar to violet blossoms, it's a vibrant light purple.
#DEA5A4	reds	Pastel Pink		Similar to ripe cherries, it's a soft light red.
#DEAA88	oranges	Tumbleweed		Named after tangerine peel, this orange has a soft light look.
#DEB887	oranges	Burlywood		A soft light orange reminiscent of tangerine peel.
#DECC9C	oranges	Lion		A warm, golden beige inspired by the majestic lion's mane, which has been a symbol of strength, courage, and royalty throughout human history. This color represents leadership, nobility, and natural authority. Lion's association with power and dignity has made it popular in luxury branding and traditional design. The color's rich, warm quality evokes feelings of strength and confidence.
#DF00FF	purples	Phlox / Psychedelic Purple		A bright, electric purple that captures the excitement and energy of 1960s counterculture and psychedelic art. This color represents artistic freedom, cultural revolution, and the exploration of consciousness. Psychedelic purple's association with creative expression and cultural innovation has made it popular in artistic and alternative design.
#DF73FF	purples	Heliotrope		A bright purple-pink named after the heliotrope flower (Heliotropium), which was believed to turn toward the sun. The name comes from the Greek 'helios' (sun) and 'trope' (turn). This color represents devotion and faithfulness, as the flower was thought to follow the sun's path across the sky. Heliotrope's vibrant, romantic quality has made it popular in Victorian gardens and continues to appeal in modern floral design and fashion.
#E0115F	purples	Ruby		Similar to royal velvet, it's a vibrant medium purple.
#E0B0FF	purples	Mauve		A soft, dusty purple named after the French word for the mallow flower. This color was accidentally discovered by 18-year-old chemistry student William Henry Perkin in 1856 while trying to synthesize quinine. Mauve became the first synthetic dye and revolutionized the textile industry, making purple accessible to everyone. The color's association with innovation and democratization of fashion has made it historically significant.
#E0FFFF	blues	Light Cyan		A pale, ethereal blue-green that represents the purest form of light and clarity. This color captures the crystalline quality of clear water and the transparency of ice. Light cyan's association with purity, cleanliness, and technology has made it popular in medical and scientific applications. The color's cool, refreshing quality makes it ideal for creating a sense of space and cleanliness.
#E12C2C	reds	Permanent Geranium Lake		Named after ripe cherries, this red has a vibrant medium look.
#E1CA7A	yellows	Prairie Gold		A warm, golden yellow inspired by the vast grasslands of the American prairie, where golden wheat and grasses stretch to the horizon. This color represents agricultural abundance, the American heartland, and the natural beauty of open landscapes. Prairie gold's association with rural heritage and agricultural tradition has made it popular in heritage and agricultural branding.
#E2062C	reds	Medium Candy Apple Red		A bright, glossy red inspired by the classic candy apple, a treat that has been popular at fairs and carnivals for over a century. This color represents childhood nostalgia, celebration, and the sweet pleasures of life. Medium candy apple red's association with fun, excitement, and indulgence has made it popular in entertainment and food branding.
#E23D28	reds	Chili Red		A vibrant medium red reminiscent of ripe cherries.
#E25822	oranges	Flame		Named after autumn leaves, this orange has a vibrant medium look.
#E2725B	reds	Terra Cotta		A soft, golden tan inspired by the sunlit hills and wheat fields of Tuscany, Italy. Tuscan tan reflects the region's agricultural heritage and the gentle warmth of Mediterranean light. This color is often used in design to evoke relaxation, rustic charm, and the timeless beauty of Italian countryside living.
#E29CD2	purples	Orchid (Crayola)		Similar to royal velvet, it's a soft light purple.
#E30022	reds	Cadmium Red		A deep, opaque red pigment created by heating cadmium yellow with selenium. This synthetic pigment, developed in the early 20th century, offers exceptional lightfastness and covering power. Unlike many red pigments that fade or change over time, cadmium red maintains its intensity for centuries. Artists prize it for its ability to create vibrant, permanent reds that don't require multiple layers to achieve full opacity.
#E30B5D	purples	Raspberry		A vibrant, rich pink-red inspired by the raspberry fruit, which has been cultivated for its sweet taste and nutritional value for thousands of years. This color represents natural sweetness, summer abundance, and the joy of berry picking. Raspberry's association with natural food and seasonal beauty has made it popular in food and garden design.
#E3256B	purples	Razzmatazz		This purple evokes lavender fields with its vibrant medium tone.
#E34234	reds	Vermillion		A brilliant red-orange pigment with a rich history dating back to ancient China, where it was first created from cinnabar (mercury sulfide). This toxic but vibrant color was highly prized in medieval manuscripts and Renaissance paintings, often used to depict the robes of saints and royalty. The pigment's intensity comes from its mercury content, making it both beautiful and dangerous.
#E3A857	oranges	Indian Yellow		Named after a glowing sunset, this orange has a vibrant light look.
#E3AB57	oranges	Sunray		Similar to a glowing sunset, it's a vibrant light orange.
#E3B505	yellows	Indian Yellow		A deep, golden yellow pigment with a controversial history. Originally made from the urine of cows fed exclusively on mango leaves in India, this pigment was prized by European artists for its transparency and warm undertones. The practice was banned in 1908 due to animal cruelty concerns. Modern Indian yellow is typically made from synthetic compounds, though some artists still seek the original pigment for its unique luminescent quality and historical authenticity.
#E3DAC9	oranges	Bone		Similar to autumn leaves, it's a soft light orange.
#E3F988	yellows	Mindaro		A bright, lime-yellow that captures the fresh, zesty quality of young citrus fruits. This color represents vitality, energy, and the invigorating taste of fresh citrus. Mindaro's association with health, freshness, and natural energy has made it popular in food packaging and wellness branding.
#E40078	purples	Red-Purple		A vibrant medium purple reminiscent of violet blossoms.
#E4007C	purples	Mexican Pink		A vibrant, electric pink that has become a symbol of Mexican culture and identity. This color represents the bold, passionate spirit of Mexican art, fashion, and architecture. Mexican pink's association with celebration, creativity, and cultural pride has made it popular in Latin American design and international fashion.
#E44D2E	reds	Cinnabar		A brilliant red-orange pigment derived from the mineral cinnabar (mercury sulfide), one of the most toxic natural pigments known. Ancient Chinese alchemists believed it contained the essence of immortality, while Roman artists used it for frescoes and cosmetics. The pigment's toxicity comes from its mercury content, which can cause severe neurological damage. Despite its dangers, cinnabar's vibrant color and permanence made it highly valued until safer synthetic alternatives were developed.
#E4717A	reds	Candy Pink		A vibrant light red reminiscent of a fresh rose.
#E48400	oranges	Fulvous		Similar to a glowing sunset, it's a vibrant medium orange.
#E49B0F	yellows	Gamboge		A deep golden yellow pigment derived from the resin of Garcinia trees native to Southeast Asia. Used in Buddhist art and manuscripts for centuries, gamboge was prized for its vibrant hue and transparency. Its name comes from Cambodia (formerly 'Camboja'), where the resin was harvested and traded along ancient spice routes. The pigment's spiritual and artistic significance endures in both Eastern and Western art.
#E4D00A	yellows	Citrine		Similar to morning sunlight, it's a vibrant medium yellow.
#E4D96F	yellows	Straw		This yellow evokes morning sunlight with its vibrant light tone.
#E58E73	reds	Middle Red		Named after ripe cherries, this red has a vibrant light look.
#E5AA70	oranges	Fawn		A vibrant light orange reminiscent of tangerine peel.
#E5E4E2	neutrals	Platinum		A cool, metallic gray inspired by the platinum metal, which has been prized for its beauty, rarity, and resistance to tarnishing since ancient times. This color represents luxury, sophistication, and enduring quality. Platinum's association with high-end jewelry and premium products has made it popular in luxury branding and automotive design.
#E60026	reds	Spanish Red		A vibrant medium red reminiscent of a fresh rose.
#E63E62	reds	Paradise Pink		A vibrant, tropical pink that captures the exotic beauty of paradise flowers and tropical sunsets. This color represents exotic beauty, tropical romance, and the allure of distant, beautiful places. Paradise pink's association with tropical luxury and romantic escape has made it popular in resort and vacation branding.
#E68FAC	purples	Charm Pink		Similar to violet blossoms, it's a vibrant light purple.
#E6BE8A	oranges	Gold (Crayola)		This orange evokes a glowing sunset with its vibrant light tone.
#E6E6FA	neutrals	Lavender (Web)		Similar to lavender blossoms, it's a vibrant light neutral.
#E79FC4	purples	Kobi		This purple evokes lavender fields with its soft light tone.
#E86100	oranges	Spanish Orange		A vibrant medium orange reminiscent of a glowing sunset.
#E8CCD7	purples	Queen Pink		A soft, elegant pink that represents the refined beauty and gentle authority of queenship. This color symbolizes feminine grace, royal dignity, and the balance of power and compassion. Queen pink's association with royal elegance and feminine leadership has made it popular in luxury and ceremonial design.
#E8F48C	yellows	Key Lime		A bright, tart yellow-green inspired by the key lime (Citrus aurantifolia), a small, aromatic citrus fruit native to Southeast Asia and cultivated in the Florida Keys. This lime's distinctive color comes from its high chlorophyll content and represents the fresh, zesty quality of tropical citrus. Key lime's association with refreshing flavors and tropical climates has made it popular in food packaging and summer design.
#E936A7	purples	Frostbite		This purple evokes royal velvet with its vibrant medium tone.
#E97451	reds	Burnt Sienna		A warm, earthy red-brown pigment made by heating raw sienna (iron oxide clay) to drive off water and convert the yellow-brown color to a rich red-orange. This pigment has been used since prehistoric times and was particularly popular in Renaissance fresco painting. The name comes from the Italian city of Siena, where the clay was originally mined. Burnt sienna's transparency and warm undertones make it essential for creating flesh tones and warm shadows in traditional painting.
#E9967A	oranges	Dark Salmon		Named after tangerine peel, this orange has a vibrant light look.
#E9D66B	yellows	Arylide Yellow		Named after morning sunlight, this yellow has a vibrant light look.
#E9FFDB	greens	Nyanza		A soft, pale green named after Lake Nyanza (Lake Victoria), the largest lake in Africa. This color represents the gentle, life-giving quality of fresh water and the natural beauty of African landscapes. Nyanza's association with natural resources and environmental conservation has made it popular in eco-friendly and sustainable design.
#EAA221	oranges	Marigold		Similar to a glowing sunset, it's a vibrant medium orange.
#EC5800	oranges	Persimmon		A rich, warm orange inspired by the persimmon fruit, which has been cultivated in Asia for thousands of years and is celebrated for its sweet taste and cultural significance. This color represents autumn abundance, natural sweetness, and the rich traditions of Asian agriculture. Persimmon's association with seasonal beauty and cultural heritage has made it popular in Asian design and seasonal branding.
#ECB176	oranges	Middle Yellow Red		Similar to tangerine peel, it's a vibrant light orange.
#ECEBBD	yellows	Pale Spring Bud		Similar to morning sunlight, it's a soft light yellow.
#ED1C24	reds	Red (Pigment)		A vibrant medium red reminiscent of ripe cherries.
#ED2939	reds	Imperial Red		This red evokes a fresh rose with its vibrant medium tone.
#ED7A9B	purples	Rose Pompadour		Similar to rose petals, it's a vibrant light purple.
#ED872D	oranges	Cadmium Orange		Named after autumn leaves, this orange has a vibrant medium look.
#ED9121	oranges	Carrot Orange		A vibrant medium orange reminiscent of autumn leaves.
#EDC9AF	oranges	Desert Sand		This orange evokes tangerine peel with its vibrant light tone.
#EE204D	reds	Red (Crayola)		Named after ripe cherries, this red has a vibrant medium look.
#EE82EE	purples	Violet (Web)		A vibrant light purple reminiscent of violet blossoms.
#EED202	yellows	Safety Yellow		This yellow evokes sunflower petals with its vibrant medium tone.
#EED9C4	oranges	Almond		A soft, warm beige inspired by the almond nut, which has been cultivated in the Mediterranean region for over 4,000 years. Almonds are associated with health, wisdom, and prosperity in many cultures, and their subtle color represents natural elegance and wholesome living. Almond's association with natural beauty and healthy living has made it popular in wellness and organic design.
#EEDC82	yellows	Flaxen		A muted yellow with brown undertones inspired by flax (Linum usitatissimum), one of the oldest cultivated plants in human history. Flax has been used for fiber, oil, and food for over 30,000 years, with evidence of cultivation dating back to ancient Egypt and Mesopotamia. Flaxen's association with traditional crafts, natural materials, and sustainable living has made it popular in heritage and artisanal design.
#EEE600	yellows	Titanium Yellow		A bright, opaque yellow pigment made from titanium dioxide, introduced in the 20th century as a safe, non-toxic alternative to older yellow pigments. Titanium yellow is valued for its exceptional brightness, covering power, and resistance to fading, making it a favorite in both fine art and industrial applications. Its use in paints, plastics, and coatings has helped define the look of modern design, from vibrant signage to contemporary art.
#EEED09	yellows	Xanthic		A bright, pure yellow derived from the Greek word 'xanthos,' meaning yellow or golden. Xanthic represents the most fundamental expression of yellow, embodying brightness, optimism, and the pure energy of sunlight. This color is often used in design to convey clarity, energy, and the essential qualities of light and warmth.
#EF98AA	reds	Mauvelous		Similar to brick walls, it's a vibrant light red.
#EFBBCC	purples	Cameo Pink		Named after royal velvet, this purple has a vibrant light look.
#EFCC00	yellows	Yellow (Munsell)		A vibrant medium yellow reminiscent of sunflower petals.
#EFDFBB	oranges	Dutch White		A vibrant light orange reminiscent of a glowing sunset.
#F0599C	purples	Violet-Red (Perbang)		A vibrant light purple reminiscent of royal velvet.
#F08080	reds	Light Coral		A soft, warm pink-red inspired by the delicate coral reefs found in tropical oceans. This color represents the beauty and fragility of marine ecosystems. Light coral's gentle, nurturing quality has made it popular in cosmetics, fashion, and interior design. The color's association with tropical waters and natural beauty has made it a favorite in beach-themed and summer designs.
#F0E68C	yellows	Khaki (X11) (Light Khaki)		Similar to ripe lemons, it's a vibrant light yellow.
#F0EAD6	yellows	Eggshell		This yellow evokes ripe lemons with its soft light tone.
#F0F8FF	neutrals	Alice Blue		A soft, pale blue inspired by Alice Roosevelt Longworth, daughter of President Theodore Roosevelt, who wore dresses of this color in the early 1900s. This color represents the elegance of the Gilded Age and the refined tastes of American high society. Alice blue's association with classical beauty and historical charm has made it popular in heritage and bridal design.
#F0FFFF	neutrals	Azure (X11/Web Color)		This neutral evokes weathered stone with its vibrant light tone.
#F19CBB	purples	Amaranth Pink		This purple evokes lavender fields with its vibrant light tone.
#F1B42F	oranges	Xanthous		A warm, golden yellow-orange derived from the Greek word 'xanthos,' meaning yellow. Xanthous represents the rich, warm tones of autumn sunlight and the golden quality of ripe harvests. This color is often used in design to convey warmth, abundance, and the natural richness of seasonal changes.
#F1DDCF	oranges	Champagne Pink		This orange evokes a glowing sunset with its soft light tone.
#F1E9D2	oranges	Parchment		A warm, aged cream inspired by traditional parchment paper, which was made from animal skins and used for important documents and manuscripts for centuries. This color represents knowledge, tradition, and the preservation of human wisdom. Parchment's association with classical learning and historical documentation has made it popular in heritage and educational design.
#F2003C	reds	Red (Munsell)		Named after a fresh rose, this red has a vibrant medium look.
#F2BA49	oranges	Maximum Yellow Red		Named after autumn leaves, this orange has a vibrant light look.
#F2BDCD	purples	Orchid Pink		Similar to lavender fields, it's a vibrant light purple.
#F2C649	oranges	Maize (Crayola)		A vibrant light orange reminiscent of a glowing sunset.
#F2E8D7	oranges	Magnolia		Named after tangerine peel, this orange has a soft light look.
#F37A48	oranges	Mandarin		This orange evokes a glowing sunset with its vibrant light tone.
#F38FA9	purples	Vanilla Ice		Similar to lavender fields, it's a vibrant light purple.
#F3E5AB	yellows	Vanilla		A warm, creamy yellow inspired by the vanilla orchid (Vanilla planifolia), native to Mexico and Central America. Vanilla was first cultivated by the Totonac people and later spread worldwide by Spanish conquistadors. The color captures the rich, comforting quality of vanilla's flavor and aroma, making it popular in food packaging, cosmetics, and interior design. Vanilla's association with sweetness and comfort has made it a beloved color in home decor and fashion.
#F400A1	purples	Hollywood Cerise		A vibrant medium purple reminiscent of royal velvet.
#F4A460	oranges	Sandy Brown		Named after a glowing sunset, this orange has a vibrant light look.
#F4C2C2	reds	Tea Rose	flowers	Similar to rose petals, it's a vibrant light red.
#F4C430	yellows	Saffron		A precious golden-yellow pigment derived from the dried stigmas of the saffron crocus (Crocus sativus). This ancient dye, worth more than gold by weight, was used in royal garments, illuminated manuscripts, and religious ceremonies. Saffron's distinctive color comes from crocin, a carotenoid compound that gives it both its hue and its value. The labor-intensive harvesting process - each flower produces only three stigmas - made saffron a symbol of wealth and luxury throughout history.
#F4CA16	yellows	Jonquil	flowers	A bright, cheerful yellow inspired by the jonquil daffodil (Narcissus jonquilla), which is native to Spain and Portugal. This flower's golden hue represents the arrival of spring and new beginnings. Jonquil yellow captures the flower's sunny disposition and its ability to naturalize in gardens, making it a symbol of resilience and hope. The color's association with early spring flowers has made it popular in seasonal design and spring fashion.
#F4F0EC	neutrals	Isabelline		This neutral evokes driftwood with its muted light tone.
#F56FA1	purples	Cyclamen		This purple evokes lavender fields with its vibrant light tone.
#F58025	oranges	Princeton Orange		A bright, energetic orange named after Princeton University, one of America's oldest and most prestigious academic institutions. This color represents intellectual excellence, academic tradition, and the pursuit of knowledge. Princeton orange's association with educational achievement and institutional heritage has made it popular in academic and professional branding.
#F5BD1F	oranges	Orange-Yellow		Named after autumn leaves, this orange has a vibrant medium look.
#F5DEB3	oranges	Wheat		A soft, golden tan inspired by ripe wheat fields at harvest time. Wheat color evokes the abundance of agriculture, the warmth of summer, and the timeless beauty of rural landscapes. This color is often used in design to convey natural warmth, rustic charm, and the comforting appeal of traditional craftsmanship.
#F5E050	yellows	Minion Yellow		A bright, cheerful yellow inspired by the beloved Minion characters from the Despicable Me film series. This color represents playfulness, loyalty, and childlike joy. Minion yellow's association with fun, friendship, and positive energy has made it popular in children's products and entertainment branding.
#F5F5DC	yellows	Beige		This yellow evokes ripe lemons with its soft light tone.
#F5F5F5	neutrals	Cultured Pearl		A muted light neutral reminiscent of soft ash.
#F5FFFA	neutrals	Mint Cream		A soft, cool white with a subtle green tint inspired by the refreshing quality of mint. This color represents cleanliness, freshness, and natural purity. Mint cream's association with cool, soothing sensations has made it popular in healthcare and spa design, where it creates a sense of calm and cleanliness.
#F653A6	purples	Magenta (Crayola)		A vibrant light purple reminiscent of violet blossoms.
#F6ADC6	purples	Nadeshiko Pink		A soft, gentle pink named after the Nadeshiko (Dianthus superbus), the national flower of Japan. This color represents traditional Japanese femininity, grace, and the beauty of natural simplicity. Nadeshiko pink's association with Japanese culture and traditional values has made it popular in Asian design and cultural branding.
#F6EABE	yellows	Lemon Meringue		This yellow evokes ripe lemons with its vibrant light tone.
#F75394	purples	Violet-Red		A vibrant light purple reminiscent of violet blossoms.
#F77FBE	purples	Persian Pink		A soft, romantic pink inspired by the traditional gardens and textiles of Persia, where this color has been used in decorative arts for centuries. This color represents the gentle beauty of Persian gardens and the romantic traditions of Middle Eastern culture. Persian pink's association with classical romance and cultural elegance has made it popular in heritage and luxury design.
#F78FA7	reds	Pink Sherbet		A sweet, creamy pink inspired by the frozen dessert sherbet, which has been enjoyed for its refreshing taste and vibrant colors since the 19th century. This color represents summer sweetness, childhood memories, and the joy of simple pleasures. Pink Sherbet's association with nostalgic treats and carefree moments has made it popular in dessert and retro design.
#F7BFBE	reds	Spanish Pink		Named after a fresh rose, this red has a vibrant light look.
#F7D716	yellows	Buttercup		A bright, vivid yellow inspired by the buttercup flower (Ranunculus), which is found in meadows and fields across the Northern Hemisphere. Buttercups have long been associated with childhood games, folklore, and the arrival of spring. Their cheerful color symbolizes joy, innocence, and the simple pleasures of nature, making buttercup yellow a favorite in children's art and springtime celebrations.
#F7E7CE	oranges	Champagne		Similar to a glowing sunset, it's a vibrant light orange.
#F88379	reds	Coral Pink		A vibrant light red reminiscent of a fresh rose.
#F8B878	oranges	Mellow Apricot		A soft, warm orange inspired by the apricot fruit, which has been cultivated in Central Asia for over 4,000 years. This color represents the gentle sweetness of summer fruits and the warmth of late summer afternoons. Mellow apricot's association with natural sweetness and comfort has made it popular in food packaging and wellness design.
#F8D568	yellows	Orange-Yellow (Crayola)		Similar to ripe lemons, it's a vibrant light yellow.
#F8DE7E	yellows	Jasmine / Mellow Yellow		A delicate, warm yellow inspired by the fragrant jasmine flower (Jasminum), which has been cultivated in Asia for over 1,000 years. Jasmine's golden hue captures the flower's ethereal beauty and its association with love, purity, and spiritual enlightenment in many cultures. The color's soft, luminous quality makes it popular in bridal and spring fashion, while its connection to the flower's intoxicating scent evokes feelings of romance and tranquility. A soft, gentle yellow that captures the warm, peaceful quality of late afternoon sunlight. This color represents relaxation, contentment, and the gentle transition from day to evening. Mellow yellow's association with calmness and comfort has made it popular in wellness and hospitality design.
#F8F8FF	neutrals	Ghost White		A vibrant light neutral reminiscent of soft ash.
#F9429E	purples	Rose Bonbon		A vibrant light purple reminiscent of rose petals.
#FA5053	reds	Strawberry		This red evokes ripe cherries with its vibrant light tone.
#FA5B3D	reds	Orange Soda		This red evokes brick walls with its vibrant light tone.
#FA8072	reds	Salmon		Named after brick walls, this red has a vibrant light look.
#FAD6A5	oranges	Prosecco / Deep Champagne		Named after the champagne, a very light orange/tan.
#FADA5E	yellows	Naples Yellow		A warm, golden yellow pigment that was originally made from lead antimonate and used extensively in Renaissance painting. This color was prized by artists for its warm undertones and excellent covering power. Naples yellow's association with classical art and traditional painting techniques has made it significant in fine art and historical restoration.
#FADADD	reds	Pale Pink		Similar to brick walls, it's a vibrant light red.
#FAE6FA	neutrals	Pale Purple (Pantone)		This neutral evokes weathered stone with its vibrant light tone.
#FAE7B5	oranges	Banana Mania		Similar to ripe bananas, it's a vibrant light orange.
#FAEBD7	oranges	Antique White		Named after autumn leaves, this orange has a vibrant light look.
#FAF0E6	neutrals	Linen		A warm, natural off-white inspired by the color of unbleached linen fabric, which has been used for clothing and household textiles for thousands of years. This color represents simplicity, purity, and natural beauty. Linen's association with clean, organic living has made it popular in minimalist design and sustainable fashion. The color's gentle, timeless quality makes it ideal for creating peaceful, uncluttered environments.
#FAFA37	yellows	Maximum Yellow		Named after morning sunlight, this yellow has a vibrant medium look.
#FAFAD2	yellows	Light Goldenrod Yellow		A soft, warm yellow inspired by the goldenrod flower (Solidago), which blooms in late summer and early fall. This color represents the gentle warmth of autumn sunlight and the golden fields of late summer. Light goldenrod yellow's association with harvest time and natural abundance has made it popular in seasonal design and rustic interiors.
#FB4D46	reds	Tart Orange		This red evokes brick walls with its vibrant light tone.
#FBAB60	oranges	Rajah		A warm, golden orange inspired by the title 'Rajah,' which refers to Indian princes and rulers. This color represents the opulence of Indian royalty, the richness of South Asian culture, and the golden traditions of the subcontinent. Rajah's association with cultural heritage and royal splendor has made it popular in heritage and luxury design.
#FBCEB1	oranges	Apricot		Named after a glowing sunset, this orange has a vibrant light look.
#FBEC5D	yellows	Corn / Maize		Similar to sunflower petals, it's a vibrant light yellow.
#FC0FC0	purples	Shocking Pink		Named after lavender fields, this purple has a vibrant medium look.
#FC6C85	reds	Ultra Red		A vibrant light red reminiscent of brick walls.
#FC89AC	purples	Tickle Me Pink		This purple evokes royal velvet with its vibrant light tone.
#FCC200	yellows	Golden Poppy	flowers	A bright, cheerful yellow inspired by the California poppy (Eschscholzia californica), the state flower of California. This wildflower's golden hue has become a symbol of the American West and its natural beauty. The color captures the flower's sunny disposition and its ability to thrive in arid conditions, making it a symbol of resilience and optimism. Golden poppy's association with California's golden hills and spring wildflowers has made it a beloved color in Western design and culture.
#FCE883	yellows	Yellow (Crayola)		Similar to sunflower petals, it's a vibrant light yellow.
#FD3A4A	reds	Red Salsa		This red evokes brick walls with its vibrant light tone.
#FD3F92	purples	French Fuchsia		This purple evokes lavender fields with its vibrant light tone.
#FD6C9E	purples	French Pink		Similar to royal velvet, it's a vibrant light purple.
#FDBE02	oranges	Mango		A vibrant medium orange reminiscent of autumn leaves.
#FDDDE6	purples	Piggy Pink		A soft, playful pink inspired by the gentle color of piglets and young farm animals. This color represents innocence, playfulness, and the simple joys of rural life. Piggy pink's association with childhood memories and natural simplicity has made it popular in children's design and pastoral aesthetics.
#FDEE00	yellows	Aureolin		A bright, transparent yellow pigment made from potassium cobaltinitrite, discovered in 1831 by German chemist Nikolaus Wolfgang Fischer. This synthetic pigment was the first stable yellow alternative to the toxic orpiment and was immediately adopted by artists. Aureolin's transparency and cool undertones make it perfect for glazing techniques and creating luminous effects in watercolor painting. The name comes from the Latin 'aureus,' meaning golden.
#FDF5E6	neutrals	Old Lace		A soft, warm off-white inspired by antique lace, which has been crafted by hand for centuries as a symbol of elegance and refinement. This color represents traditional craftsmanship, delicate beauty, and the timeless appeal of handmade textiles. Old lace's association with vintage charm and romantic aesthetics has made it popular in bridal and heritage design.
#FDF8FF	neutrals	Zinc White		A pure, bright white pigment made from zinc oxide, introduced in the 18th century as a safer alternative to lead white. Zinc white is valued for its excellent covering power, non-toxic properties, and resistance to yellowing over time. This pigment revolutionized painting by providing artists with a reliable, safe white that maintains its brilliance, making it essential in both fine art and industrial applications.
#FDFF00	yellows	Lemon Glacier		Similar to ripe lemons, it's a vibrant medium yellow.
#FE2712	reds	Red (RYB)		This red evokes a fresh rose with its vibrant medium tone.
#FE28A2	purples	Persian Rose		A vibrant, romantic pink inspired by the traditional gardens and textiles of Persia, where this color has been used in decorative arts for centuries. This color represents the beauty of Persian gardens and the romantic traditions of Middle Eastern culture. Persian rose's association with classical romance and cultural elegance has made it popular in heritage and luxury design.
#FE4164	reds	Neon Fuchsia		A vibrant light red reminiscent of brick walls.
#FE4EDA	purples	Purple Pizzazz		A bright, electric purple that captures the excitement and energy of modern entertainment and pop culture. This color represents creativity, fun, and the vibrant energy of contemporary youth culture. Purple pizzazz's association with entertainment and playful design has made it popular in gaming and youth-oriented branding.
#FEBAAD	reds	Melon		A soft, warm pink-orange inspired by the flesh of ripe melons, which have been cultivated for their sweet, refreshing taste for thousands of years. This color represents summer abundance, natural sweetness, and healthy refreshment. Melon's association with fresh fruit and summer enjoyment has made it popular in food packaging and seasonal design.
#FED85D	yellows	Dandelion		A bright, cheerful yellow inspired by the common dandelion flower (Taraxacum officinale), which has been used for food and medicine for centuries. The dandelion's golden hue represents resilience and hope, as this hardy plant can grow almost anywhere. The color captures the flower's sunny disposition and its association with spring and new beginnings. Dandelion yellow is often used in children's products and spring fashion to evoke feelings of joy and optimism.
#FED8B1	oranges	Light Orange		A soft, warm orange that captures the gentle glow of late afternoon sunlight. This color represents warmth, comfort, and the peaceful transition from day to evening. Light orange's association with sunset and golden hour has made it popular in hospitality and wellness design. The color's soothing, inviting quality makes it ideal for creating welcoming, comfortable environments.
#FEDF00	yellows	Yellow (Pantone)		Similar to ripe lemons, it's a vibrant medium yellow.
#FEFE33	yellows	Yellow (RYB)		Named after morning sunlight, this yellow has a vibrant medium look.
#FEFEFA	neutrals	Baby Powder		Named after soft ash, this neutral has a vibrant light look.
#FF0000	reds	Red		A vibrant medium red reminiscent of a fresh rose.
